date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:52:19	8463/8463	---M--	200	added ('OK')	image/png	etag:%22210f-54b2452fd1501%22	http://songdos.com/img/bottomlogo.png	C:/My%20Web%20Sites/uncle/songdos.com/img/bottomlogo.png	(from http://songdos.com/)
01:52:24	387170/387170	---M--	200	added ('OK')	image/png	etag:%225e862-5d4e47b4bb2fa%22	http://songdos.com/img/popup2.png	C:/My%20Web%20Sites/uncle/songdos.com/img/popup2.png	(from http://songdos.com/)
01:52:28	100285/100285	---M--	200	added ('OK')	image/png	etag:%22187bd-54b2452fd1501%22	http://songdos.com/img/boctors.png	C:/My%20Web%20Sites/uncle/songdos.com/img/boctors.png	(from http://songdos.com/)
01:54:32	824319/824319	---M--	200	added ('OK')	image/png	etag:%22c93ff-54b2453019941%22	http://songdos.com/img/img_view01.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view01.png	(from http://songdos.com/)
01:54:34	781497/781497	---M--	200	added ('OK')	image/png	etag:%22becb9-54b2453234e29%22	http://songdos.com/img/img_view03.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view03.png	(from http://songdos.com/)
01:54:58	948204/948204	---M--	200	added ('OK')	image/png	etag:%22e77ec-54b24531ac2a9%22	http://songdos.com/img/img_view02.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view02.png	(from http://songdos.com/)
01:55:16	1385114/1385114	---M--	200	added ('OK')	image/png	etag:%2215229a-5d8d177f9cb42%22	http://songdos.com/intro/img/introduce_img_popup.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/introduce_img_popup.png	(from http://songdos.com/)
01:56:55	885099/885099	---M--	200	added ('OK')	image/png	etag:%22d816b-54b2453343e19%22	http://songdos.com/img/img_view04.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view04.png	(from http://songdos.com/)
01:57:02	913902/913902	---M--	200	added ('OK')	image/png	etag:%22df1ee-54b24533f32c9%22	http://songdos.com/img/img_view05.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view05.png	(from http://songdos.com/)
01:57:17	858447/858447	---M--	200	added ('OK')	image/png	etag:%22d194f-54b245352d239%22	http://songdos.com/img/img_view06.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view06.png	(from http://songdos.com/)
01:57:36	869028/869028	---M--	200	added ('OK')	image/png	etag:%22d42a4-54b24535a2539%22	http://songdos.com/img/img_view07.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view07.png	(from http://songdos.com/)
01:59:07	766113/766113	---M--	200	added ('OK')	image/png	etag:%22bb0a1-54b245374c5a1%22	http://songdos.com/img/img_view09.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view09.png	(from http://songdos.com/)
01:59:19	887957/887957	---M--	200	added ('OK')	image/png	etag:%22d8c95-54b2453722d91%22	http://songdos.com/img/img_view08.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view08.png	(from http://songdos.com/)
02:00:15	1098336/1098336	---M--	200	added ('OK')	image/png	etag:%2210c260-54b24538a5529%22	http://songdos.com/img/img_view10.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view10.png	(from http://songdos.com/)
02:00:17	991693/991693	---M--	200	added ('OK')	image/png	etag:%22f21cd-54b2453987659%22	http://songdos.com/img/img_view11.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view11.png	(from http://songdos.com/)
02:01:36	925384/925384	---M--	200	added ('OK')	image/png	etag:%22e1ec8-54b2453a687e9%22	http://songdos.com/img/img_view12.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view12.png	(from http://songdos.com/)
02:02:02	1005459/1005459	---M--	200	added ('OK')	image/png	etag:%22f5793-54b2453b46e81%22	http://songdos.com/img/img_view13.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view13.png	(from http://songdos.com/)
02:02:39	889615/889615	---M--	200	added ('OK')	image/png	etag:%22d930f-54b2453c56a29%22	http://songdos.com/img/img_view14.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view14.png	(from http://songdos.com/)
02:02:39	874392/874392	---M--	200	added ('OK')	image/png	etag:%22d5798-54b2453cf2a41%22	http://songdos.com/img/img_view15.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view15.png	(from http://songdos.com/)
02:04:13	808647/808647	---M--	200	added ('OK')	image/png	etag:%22c56c7-54b2453e9e219%22	http://songdos.com/img/img_view17.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view17.png	(from http://songdos.com/)
02:04:26	1048384/1048384	---M--	200	added ('OK')	image/png	etag:%22fff40-54b2453dfb889%22	http://songdos.com/img/img_view16.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view16.png	(from http://songdos.com/)
02:05:19	990406/990406	---M--	200	added ('OK')	image/png	etag:%22f1cc6-54b24540c2f59%22	http://songdos.com/img/img_view19.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view19.png	(from http://songdos.com/)
02:05:25	1028991/1028991	---M--	200	added ('OK')	image/png	etag:%22fb37f-54b2453f80349%22	http://songdos.com/img/img_view18.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view18.png	(from http://songdos.com/)
02:06:15	753781/753781	---M--	200	added ('OK')	image/png	etag:%22b8075-54b2454160eb1%22	http://songdos.com/img/img_view20.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view20.png	(from http://songdos.com/)
02:07:00	952499/952499	---M--	200	added ('OK')	image/png	etag:%22e88b3-54b2454243b99%22	http://songdos.com/img/img_view21.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view21.png	(from http://songdos.com/)
02:07:54	955708/955708	---M--	200	added ('OK')	image/png	etag:%22e953c-54b245430a361%22	http://songdos.com/img/img_view22.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view22.png	(from http://songdos.com/)
02:08:11	1024188/1024188	---M--	200	added ('OK')	image/png	etag:%22fa0bc-54b24543c43f1%22	http://songdos.com/img/img_view23.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view23.png	(from http://songdos.com/)
02:08:25	803240/803240	---M--	200	added ('OK')	image/png	etag:%22c41a8-54b24544eaae1%22	http://songdos.com/img/img_view24.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view24.png	(from http://songdos.com/)
02:10:46	1061820/1061820	---M--	200	added ('OK')	image/png	etag:%221033bc-54b24546dd759%22	http://songdos.com/img/img_view26.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view26.png	(from http://songdos.com/)
02:11:13	1121950/1121950	---M--	200	added ('OK')	image/png	etag:%22111e9e-54b24547921f9%22	http://songdos.com/img/img_view27.png	C:/My%20Web%20Sites/uncle/songdos.com/img/img_view27.png	(from http://songdos.com/)
02:11:14	2894/2894	---M--	200	added ('OK')	image/png	etag:%22b4e-54b2452fd5f39%22	http://songdos.com/img/btn_close.png	C:/My%20Web%20Sites/uncle/songdos.com/img/btn_close.png	(from http://songdos.com/)
